2026-06-09 15:08:01,826 [registry] INFO Starting Registry on port 10000
INFO:     Started server process [15172]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:10000 (Press CTRL+C to quit)
2026-06-09 15:08:08,696 [registry] INFO Registered agent 'tax-agent' at http://localhost:10102 (tasks=['tax_question'])
2026-06-09 15:08:08,741 [registry] INFO Registered agent 'compliance-agent' at http://localhost:10103 (tasks=['compliance_question'])
2026-06-09 15:08:09,036 [registry] INFO Registered agent 'law-agent' at http://localhost:10101 (tasks=['legal_question'])
2026-06-09 15:08:12,673 [registry] INFO Registered agent 'customer-agent' at http://localhost:10100 (tasks=[])
2026-06-09 15:09:23,188 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 15:09:44,522 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 15:09:44,527 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
2026-06-09 15:11:41,402 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 15:12:02,019 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 15:12:02,024 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
2026-06-09 15:13:38,053 [registry] INFO Registered agent 'tax-agent' at http://localhost:10102 (tasks=['tax_question'])
2026-06-09 15:14:44,150 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 15:15:04,401 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 15:15:04,408 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
2026-06-09 15:18:49,860 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 15:19:19,552 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 15:19:19,559 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
2026-06-09 15:20:31,653 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 15:21:01,756 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 15:21:01,762 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
2026-06-09 16:13:27,810 [registry] INFO Discovered agent 'law-agent' for task 'legal_question'
2026-06-09 16:13:45,765 [registry] INFO Discovered agent 'compliance-agent' for task 'compliance_question'
2026-06-09 16:13:45,770 [registry] INFO Discovered agent 'tax-agent' for task 'tax_question'
